,age,fnlwgt,educational-num,occupation,hours-per-week,income,capital-net,native-american,workclass_Other,workclass_Private,workclass_gov,workclass_other,marital-status_Married-civ-spouse,marital-status_Never-married,marital-status_Separated,race_Black,race_Other,race_White,male
22174,32,211028,10,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,0
19434,56,130454,13,0.3912087912087912,40,1,0,1,0,0,1,0,1,0,0,0,0,1,1
35473,27,213421,15,0.21287436311668945,50,0,0,1,0,1,0,0,0,1,0,0,0,1,1
9513,36,166115,10,0.21287436311668945,56,0,0,1,0,1,0,0,1,0,0,0,0,1,1
5377,34,113211,12,0.21287436311668945,45,1,0,1,0,1,0,0,1,0,0,0,0,1,0
40019,26,221626,9,0.32516703786191536,20,0,-1579,1,1,0,0,0,1,0,0,0,0,1,0
2216,50,193720,13,0.21287436311668945,40,1,7688,1,0,1,0,0,1,0,0,0,0,1,1
25586,28,162343,9,0.21287436311668945,40,0,0,0,0,1,0,0,0,1,0,0,0,1,1
5648,29,131045,11,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,0
26917,46,268281,13,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,0
26665,50,304260,12,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,1,0,1
20334,27,228472,13,0.21287436311668945,45,1,0,1,0,1,0,0,1,0,0,0,0,1,1
12912,42,183319,9,0.21287436311668945,43,1,0,1,0,1,0,0,0,0,1,0,0,1,1
23792,33,121966,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,0
29060,50,172052,9,0.21287436311668945,35,1,0,0,0,1,0,0,1,0,0,0,1,0,1
1672,41,157217,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,1
20714,52,149650,16,0.32516703786191536,40,1,0,0,1,0,0,0,1,0,0,0,0,1,1
25680,50,30008,13,0.29697986577181207,45,1,0,1,0,0,0,1,1,0,0,0,0,1,1
25782,61,56009,10,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
16184,59,354948,13,0.32516703786191536,40,1,3103,1,1,0,0,0,1,0,0,0,0,1,1
18809,47,102359,13,0.32516703786191536,30,0,0,1,1,0,0,0,1,0,0,0,0,1,1
20005,38,234901,14,0.21287436311668945,60,1,-1977,1,0,1,0,0,1,0,0,0,0,1,1
9435,63,181153,9,0.21287436311668945,50,1,0,0,0,1,0,0,1,0,0,0,0,1,1
12730,42,199018,14,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
17567,47,370119,13,0.32516703786191536,50,1,15024,1,1,0,0,0,1,0,0,0,0,1,1
11740,27,430710,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,1
1970,62,194276,14,0.29697986577181207,40,1,7688,1,0,0,0,1,1,0,0,0,0,1,1
27472,47,114459,14,0.29697986577181207,45,1,7688,1,0,0,0,1,1,0,0,0,0,1,1
707,26,241626,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,1
39058,28,201099,9,0.29697986577181207,40,0,0,1,0,0,0,1,0,1,0,1,0,0,0
40119,32,262153,9,0.21287436311668945,35,0,0,1,0,1,0,0,0,0,1,0,0,1,1
2461,57,62539,9,0.21287436311668945,38,0,-1876,1,0,1,0,0,0,0,1,0,0,1,0
14342,23,347867,13,0.21287436311668945,30,0,0,1,0,1,0,0,0,1,0,0,0,1,1
48436,23,142766,10,0.21287436311668945,20,0,1055,1,0,1,0,0,0,1,0,0,0,1,1
48735,50,257933,10,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,0,0,1,0
39170,19,123718,10,0.21287436311668945,20,0,0,1,0,1,0,0,0,1,0,0,0,1,0
30688,36,192337,9,0.29697986577181207,40,0,0,1,0,0,0,1,0,1,0,0,0,1,1
19177,46,271828,9,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
12928,24,188569,14,0.21287436311668945,60,1,4787,1,0,1,0,0,0,1,0,0,0,1,0
1277,54,167380,9,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
5133,44,54651,14,0.29697986577181207,40,1,0,1,0,0,0,1,1,0,0,0,0,1,1
43872,19,263932,9,0.21287436311668945,20,0,0,1,0,1,0,0,0,1,0,0,0,1,0
23044,44,104196,14,0.21287436311668945,45,1,0,1,0,1,0,0,1,0,0,0,0,1,1
46860,17,27415,7,0.21287436311668945,20,0,0,1,0,1,0,0,0,1,0,0,1,0,1
8663,66,325537,13,0.32516703786191536,40,1,0,1,1,0,0,0,1,0,0,0,0,1,1
28675,50,289207,16,0.32516703786191536,45,1,-1902,1,1,0,0,0,1,0,0,0,0,1,1
35940,30,149507,9,0.21287436311668945,42,0,0,1,0,1,0,0,1,0,0,0,0,1,1
38756,41,149102,13,0.32516703786191536,35,1,0,1,1,0,0,0,1,0,0,0,0,1,1
1313,23,130959,10,0.21287436311668945,12,0,0,1,0,1,0,0,1,0,0,0,0,1,1
42507,35,509462,13,0.21287436311668945,45,0,0,1,0,1,0,0,0,1,0,0,0,1,0
8479,28,66414,13,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
44801,29,267989,9,0.21287436311668945,45,0,0,1,0,1,0,0,1,0,0,0,0,1,1
46082,61,141745,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,0,1,1,0,0,0
11178,31,176244,9,0.21287436311668945,35,0,0,1,0,1,0,0,1,0,0,0,0,1,0
30518,46,367251,10,0.29697986577181207,40,1,0,1,0,0,0,1,1,0,0,1,0,0,1
35426,26,164737,10,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,0
25677,54,234938,9,0.21287436311668945,55,0,4064,1,0,1,0,0,1,0,0,0,0,1,1
4636,25,39640,10,0.21287436311668945,48,0,0,1,0,1,0,0,0,1,0,0,0,1,1
22483,37,181705,11,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
38902,43,112967,10,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
5141,59,115439,13,0.32516703786191536,40,1,-1977,1,1,0,0,0,1,0,0,0,0,1,1
15443,17,132859,6,0.21287436311668945,35,0,0,1,0,1,0,0,0,1,0,0,0,1,1
1566,45,187715,9,0.29697986577181207,40,1,0,1,0,0,0,1,1,0,0,0,0,1,1
22220,36,107410,9,0.21287436311668945,40,0,0,1,0,1,0,0,1,0,0,0,0,1,1
19352,35,376455,10,0.21287436311668945,60,1,15024,1,0,1,0,0,1,0,0,0,0,1,1
39543,45,34419,10,0.21287436311668945,40,1,7298,1,0,1,0,0,1,0,0,0,0,1,1
8547,29,190303,13,0.21287436311668945,15,0,2463,1,0,1,0,0,0,0,1,0,0,1,1
21174,30,156718,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,0
29013,50,160724,14,0.21287436311668945,40,1,7298,0,0,1,0,0,1,0,0,0,1,0,1
45926,22,190903,7,0.21287436311668945,20,0,0,1,0,1,0,0,1,0,0,0,0,1,0
23391,34,177675,10,0.29697986577181207,50,1,0,1,0,0,0,1,0,1,0,0,0,1,1
48785,50,208630,14,0.21287436311668945,50,1,0,1,0,1,0,0,0,0,1,0,0,1,0
32817,33,236396,9,0.21287436311668945,35,0,0,1,0,1,0,0,0,1,0,0,0,1,1
29697,29,224215,10,0.21287436311668945,40,1,0,1,0,1,0,0,1,0,0,0,0,1,1
2574,43,159549,13,0.21287436311668945,40,1,-1902,1,0,1,0,0,1,0,0,0,0,1,1
27555,20,53878,9,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,0,0,1,1
24028,22,210165,10,0.21287436311668945,50,0,0,1,0,1,0,0,0,1,0,0,0,1,1
10273,52,178596,14,0.21287436311668945,45,1,0,1,0,1,0,0,1,0,0,0,0,1,1
2111,23,430151,7,0.21287436311668945,30,0,0,1,0,1,0,0,0,1,0,0,0,1,1
11658,30,176064,9,0.21287436311668945,55,0,0,1,0,1,0,0,0,0,1,0,0,1,1
4936,23,345577,13,0.21287436311668945,46,0,0,1,0,1,0,0,0,1,0,0,0,1,0
17610,29,285290,7,0.21287436311668945,40,0,0,1,0,1,0,0,0,1,0,1,0,0,0
29063,31,190305,14,0.32516703786191536,50,0,0,1,1,0,0,0,1,0,0,0,0,1,1
44109,37,286146,9,0.32516703786191536,40,0,0,1,1,0,0,0,0,0,1,1,0,0,0
5874,45,201080,10,0.21287436311668945,60,1,0,1,0,1,0,0,1,0,0,0,0,1,1
42772,35,112077,9,0.21287436311668945,40,0,5013,1,0,1,0,0,1,0,0,0,0,1,1
32118,47,343579,2,0.21287436311668945,12,0,0,0,0,1,0,0,0,0,1,0,0,1,1
